qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
794,pet therapy ,0.0888,5,conceptnet.topn3,0.2205,pet therapy dog a dog ,tagmee.topn3,0.219,pet therapy Animal assisted therapy ,conceptluster.topn5.3.bm25,0.219,pet therapy animal assisted therapy ,glove.topn3,0.1024,pet therapy dog treatments ,tagmee.topn3.replace,0.0897,Animal assisted therapy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,notable cocker spaniels ,0.0254,16,wiki.topn3.replace,0.1508,labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,wiki.topn3,0.1343,notable cocker spaniels labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,relevancefeedback.topn10.bm25,0.1065,notable cocker spaniels terrier p dog ,termluster.topn5.3.bm25,0.0953,notable cocker spaniels english spaniel author titl number english ,docluster.topn10.3.bm25,0.0816,notable cocker spaniels terrier ,conceptnet.topn3.replace,0.0487,noteworthy far famed luminary cocker spaniel pamper old cocker spaniels ,word2vec.topn3,0.0447,notable cocker spaniels noteworthy noteable note worthy spaniel spaniels ,stem.paicehusk,0.0353,not cock spaniel ,tagmee.topn3.replace,0.0329,Cocker Spaniel Spaniel ,sensedisambiguation.replace,0.0328,noteworthy cocker spaniel spaniel ,word2vec.topn3.replace,0.0322,noteworthy noteable note worthy spaniel spaniels spaniels ,tagmee.topn3,0.0309,notable cocker spaniels Cocker Spaniel Spaniel ,sensedisambiguation,0.0309,notable noteworthy cocker cocker spaniel spaniels spaniel ,conceptluster.topn5.3.bm25,0.0309,notable cocker spaniels spaniel cocker spaniel ,stem.krovetz,0.0264,notable cock spaniel ,stem.lovins,0.0257,not cocker spaniel 
796,Blue Grass Music Festival history ,0.2559,5,tagmee.topn3,0.5186,blue grass music festival history Bluegrass music ,conceptluster.topn5.3.bm25,0.5186,blue grass music festival history bluegrass music ,wiki.topn3,0.4474,blue grass music festival history old time music bluegrass music americana  music  Bluegrass music ,wiki.topn3.replace,0.2946,old time music bluegrass music americana  music  Bluegrass music ,tagmee.topn3.replace,0.2674,Bluegrass music ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,reintroduction of gray wolves ,0.5207,4,relevancefeedback.topn10.bm25,0.5277,reintroduction of gray wolves wolf wolv ,docluster.topn10.3.bm25,0.5277,reintroduction of gray wolves wolf wolv ,tagmee.topn3,0.5247,reintroduction gray wolves Species reintroduction Gray wolf ,conceptluster.topn5.3.bm25,0.5247,reintroduction gray wolves species reintroduction gray wolf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Massachusetts textile mills ,0.1673,2,relevancefeedback.topn10.bm25,0.4216,massachusetts textile mills      mill lowel us employ theater ,docluster.topn10.3.bm25,0.4085,massachusetts textile mills lowel employ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Animals in Alzheimer s research ,0.2691,1,termluster.topn5.3.bm25,0.3419,animals alzheimer  s research year well studi year well studi activ affect also ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Ovarian Cancer Treatment ,0.2232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Kudzu Pueraria lobata ,0.4259,6,tagmee.topn3,0.5714,kudzu pueraria lobata Kudzu Kudzu ,tagmee.topn3.replace,0.5537,Kudzu Kudzu ,termluster.topn5.3.bm25,0.5095,kudzu pueraria lobata forest lobata plant forest kudzu lobata forest kudzu plant ,wiki.topn3,0.4694,kudzu pueraria lobata pueraria strongyloides stercoralis edamame Kudzu pueraria strongyloides stercoralis edamame Kudzu ,conceptnet.topn3,0.4362,kudzu pueraria lobata vine rosid dicot genus animal order ,relevancefeedback.topn10.bm25,0.4342,kudzu pueraria lobata sourc bill ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature ,0.3804,3,conceptluster.topn5.3.bm25,0.4902,volcano eruptions global temperature climate temperature ,termluster.topn5.3.bm25,0.4876,volcano eruptions global temperature climat erupt global year volcano volcan climat erupt sulfur reach larg cool ,anchor.topn3,0.4688,volcano eruptions global temperature  kudryavyi  ndiayen  idmaax  global eliahu  learjet  kiwin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,May Day ,0.0,3,wiki.topn3,0.0122,may day publiholidays in the republiof ireland international workers  day parade May Day ,wiki.topn3.replace,0.0092,publiholidays in the republiof ireland international workers  day parade May Day ,docluster.topn10.3.bm25,0.0004,may day dai old version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning ,0.5224,7,sensedisambiguation,0.6368,ban prohibition on human cloning ,wordnet.topn3,0.5579,ban human cloning prohibition man homo ,sensedisambiguation.replace,0.5425,prohibition on human cloning ,tagmee.topn3,0.5278,ban human cloning Ban  law  Human cloning ,conceptluster.topn5.3.bm25,0.5278,ban human cloning human cloning ban law ,relevancefeedback.topn10.bm25,0.524,ban on human cloning clone ,docluster.topn10.3.bm25,0.524,ban on human cloning clone ,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Identity Theft Passport ,0.0764,5,stem.paicehusk,0.154,id theft passport ,word2vec.topn3,0.1134,identity theft passport indentity thievery larceny ,termluster.topn5.3.bm25,0.1125,identity theft passport victim theft secur attornei gener ident attornei gener ident ,sensedisambiguation,0.0838,Identity Theft larceny Passport recommendation ,conceptnet.topn3,0.0813,identity theft passport name oneness operator a crime robbery thieve pass ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders ,0.1037,1,relevancefeedback.topn10.bm25,0.1353,doctors without borders hilton new doctor humanitarian drug polici africa td he ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff rate quotas ,0.5928,7,termluster.topn5.3.bm25,0.7151,sugar tariff rate quotas alloc cane contain trq tariff sugar ,wordnet.topn3,0.6688,sugar tariff rate quotas saccharify refined sugar kale ,tagmee.topn3,0.6396,sugar tariff rate quotas Sugar Import quota ,wordnet.topn3.replace,0.6306,refined sugar dough gelt tariff rate quotas ,tagmee.topn3.replace,0.6191,Sugar Import quota ,stem.trunc5,0.6161,sugar tarif   rate quota ,thesaurus.topn3,0.6046,sugar tariff rate quotas  carbohydrate candy   allocation allotment ,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting ,0.6233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment ,0.3129,2,docluster.topn10.3.bm25,0.3393,wetlands wastewater treatment wetland ,relevancefeedback.topn10.bm25,0.326,wetlands wastewater treatment wetland wastewat ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales ,0.3235,4,relevancefeedback.topn10.bm25,0.5662,timeshare resales illinoi timeshar applic consum you ftc defend ,docluster.topn10.3.bm25,0.4913,timeshare resales timeshar applic you consum ,glove.topn3,0.4096,timeshare resales js   ooooooooooooooooooooooooooooooooooooooo realtors runs thome ,termluster.topn5.3.bm25,0.3654,timeshare resales state resal offer timeshar state offer ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition ,0.2378,2,relevancefeedback.topn10.bm25,0.2934,handwriting recognition signal handwrit inform project charact tablet ,termluster.topn5.3.bm25,0.2625,handwriting recognition system recognit recogn system recogn handwrit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery ,0.5915,1,conceptluster.topn5.3.bm25,0.5933,total knee replacement surgery knee replacement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway ,0.298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood ,0.6509,1,wiki.topn3,0.6897,johnstown flood      meteorology      in pennsylvania south fork dam Johnstown Flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues ,0.2255,1,relevancefeedback.topn10.bm25,0.2356,coast guard rescues search rescu boat noaa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos ,0.8266,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,sports stadium naming rights ,0.3758,3,tagmee.topn3,0.4428,sports stadium naming rights Stadium Naming rights ,conceptluster.topn5.3.bm25,0.4428,sports stadium naming rights naming rights stadium ,tagmee.topn3.replace,0.4101,Stadium Naming rights ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Chaco Culture National Park ,0.3886,5,anchor.topn3,0.4567,chaco culture national park chilensis    large lip semiárido sozialisten national noodzaak paris  span   magee   박찬욱  phokasomboun ,relevancefeedback.topn10.bm25,0.4109,chaco culture national park cultur ,docluster.topn10.3.bm25,0.4109,chaco culture national park cultur ,sensedisambiguation,0.4036,Chaco Culture polish National Park parking lot ,termluster.topn5.3.bm25,0.3938,chaco culture national park cultur histor mexico site park new site park new chaco cultur histor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Census ,0.0048,12,word2vec.topn3,0.0413,census                censuses Censuses ,word2vec.topn3.replace,0.0279,censuses Censuses ,tagmee.topn3,0.0248,census      United States Census ,conceptluster.topn5.3.bm25,0.0248,census      united states census ,wiki.topn3,0.0242,census      united states census      united states census      united states census      United States Census ,relevancefeedback.topn10.bm25,0.019,census censu map popul veteran ,thesaurus.topn3,0.0187,census  enumeration poll ,wiki.topn3.replace,0.0186,united states census      united states census      united states census      United States Census ,tagmee.topn3.replace,0.0186,United States Census ,termluster.topn5.3.bm25,0.0138,census access archiv articl ,conceptnet.topn3,0.0098,census population ,docluster.topn10.3.bm25,0.0088,census censu popul ,,,,,,,,,,,,
820,imported fire ants ,0.7739,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work at home scams ,0.222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Custer s Last Stand ,0.0626,9,tagmee.topn3,0.1932,custer  s last stand Battle of the Little Bighorn ,conceptluster.topn5.3.bm25,0.1932,custer  s last stand battle little bighorn ,wiki.topn3,0.1356,custer  s last stand battlof throsebud marias massacre son of thmorning star Battle of the Little Bighorn ,tagmee.topn3.replace,0.1169,Battle of the Little Bighorn ,termluster.topn5.3.bm25,0.0913,custer  s last stand last stand custer stand custer last ,relevancefeedback.topn10.bm25,0.09,custer s last stand custer american ,docluster.topn10.3.bm25,0.09,custer s last stand custer american ,conceptnet.topn3,0.0737,custer  s last stand George Armstrong Custer michigan montana walk ,wordnet.topn3,0.0719,custer  s last stand General Custer George Armstrong Custer go net digest tolerate standstill ,,,,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities ,0.2669,1,relevancefeedback.topn10.bm25,0.4889,continuing care retirement communities oper provid ccrc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol ,0.3192,2,wiki.topn3,0.3525,civil air patrol civil air patrol american military youth groups air cadet organisations Civil Air Patrol ,tagmee.topn3,0.3199,civil air patrol Civil Air Patrol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,National Guard Involvement in Iraq ,0.0282,2,stem.trunc5,0.0576,natio guard invol in iraq ,stem.lovins,0.0461,nat guard involut in iraq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians ,0.2173,6,conceptluster.topn5.3.bm25,0.544,florida seminole indians seminole tribe florida ,wiki.topn3,0.5136,florida seminole indians peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,tagmee.topn3,0.4966,florida seminole indians Florida Seminole Tribe of Florida Seminole Seminole ,tagmee.topn3.replace,0.4898,Florida Seminole Tribe of Florida Seminole Seminole ,wiki.topn3.replace,0.4851,peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,termluster.topn5.3.bm25,0.2798,florida seminole indians indian land seminol war state land war state seminol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM ,0.3525,3,glove.topn3,0.4524,hidden markov modeling hmm hiding hid continuous time bb   simulation hmmm nope ,anchor.topn3,0.4124,hidden markov modeling hmm    hidden    hidden br treasur   predict chain process  ctmc  deribeev wall cross ktarian svk br r ,wiki.topn3,0.3946,hidden markov modeling hmm càdlàg feigenbaum constants central limit theorem Markov process power law statistical model parameter Mathematical model unsupervised learning support vector machine markov model Hidden Markov model ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,secret shoppers ,0.2777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support ,0.0666,1,stem.krovetz,0.097,spain civil war support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,model railroads ,0.0629,1,thesaurus.topn3,0.0806,model railroads  exemplary miniature  rail line railway ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security ,0.3064,2,docluster.topn10.3.bm25,0.4019,dulles airport security secur ,sensedisambiguation,0.3423,Dulles Airport security security system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity ,0.1649,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government ,0.4049,5,thesaurus.topn3,0.5094,iceland government   authority law ,tagmee.topn3,0.5058,iceland government Politics of Iceland ,conceptluster.topn5.3.bm25,0.5058,iceland government politics iceland ,sensedisambiguation,0.4752,Iceland government politics ,thesaurus.topn3.replace,0.423,iceland  authority law ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes ,0.4494,1,relevancefeedback.topn10.bm25,0.5452,global positioning system earthquakes earth earthquak gp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork ,0.0986,1,wiki.topn3,0.1027,big dig pork transport infrastructure completed in      battery park city heather fargo Big Dig osrox mission school voucher federal jurisdiction  united states  Pork barrel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages ,0.2575,1,anchor.topn3,0.3012,illegal immigrant wages voofoo grumpyfac noodlecak   fyn   lorri   nord ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Eskimo History ,0.0944,4,tagmee.topn3,0.1116,eskimo history Eskimo kinship History ,anchor.topn3,0.1048,eskimo history charza ashevak sireniki recuyel seeg théodrat ,glove.topn3,0.1013,eskimo history aleut inupiaq historical ever ,termluster.topn5.3.bm25,0.1,eskimo history histori new north societi river resourc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes ,0.3531,3,sensedisambiguation,0.5016,urban suburban coyotes coyote ,docluster.topn10.3.bm25,0.5016,urban suburban coyotes coyot ,stem.trunc5,0.3974,urban subur coyot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,textile dyeing techniques ,0.5885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers ,0.1631,3,wiki.topn3,0.1964,geysers geysers obsidian magma Geyser ,thesaurus.topn3,0.1926,geysers  gusher hot spring ,wiki.topn3.replace,0.1698,geysers obsidian magma Geyser ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America ,0.338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough ,0.1266,2,wiki.topn3,0.212,david mccullough books about john adams john adams  book  joseph sabin David McCullough ,wiki.topn3.replace,0.1513,books about john adams john adams  book  joseph sabin David McCullough ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot ,0.3922,5,wiki.topn3,0.6481,pol pot people from kampong thom province cambodian people convicted of murder cambodian genocide Pol Pot ,termluster.topn5.3.bm25,0.606,pol pot cambodia khmer pot cambodia khmer pol ,wiki.topn3.replace,0.4965,people from kampong thom province cambodian people convicted of murder cambodian genocide Pol Pot ,relevancefeedback.topn10.bm25,0.4315,pol pot were servic we you i o prison ,glove.topn3,0.4004,pol pot rouge maj boiling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications ,0.0619,5,tagmee.topn3,0.2348,segmental duplications Segmentation  biology  Gene duplication ,conceptluster.topn5.3.bm25,0.2348,segmental duplications gene duplication segmentation biology ,tagmee.topn3.replace,0.1398,Segmentation  biology  Gene duplication ,docluster.topn10.3.bm25,0.1221,segmental duplications tcp segment chromosom t  duplic ,sensedisambiguation,0.1,segmental duplications duplication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato ,0.3247,4,termluster.topn5.3.bm25,0.4122,new jersey tomato jersei tomato product jersei new product ,tagmee.topn3.replace,0.3894,New Jersey Jersey Tomato ,tagmee.topn3,0.3703,new jersey tomato New Jersey Jersey Tomato ,sensedisambiguation,0.3592,New newly Jersey new jersey tomato ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity ,0.1884,1,wiki.topn3,0.1952,heredity obesity teratology somatic ontogeny Heredity bariatrics overweight body shape Obesity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II ,0.3402,3,relevancefeedback.topn10.bm25,0.6031,portugal world war ii alli gold de presid ,docluster.topn10.3.bm25,0.4971,portugal world war ii gold presid ,tagmee.topn3,0.3469,portugal world war ii Portugal during World War II World War II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,radio station call letters ,0.1496,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics ,0.1735,4,relevancefeedback.topn10.bm25,0.3411,scalable vector graphics imag svg graphic file render visual system slide ,wiki.topn3,0.257,scalable vector graphics mathml web browser engine konqueror Scalable Vector Graphics ,sensedisambiguation,0.2135,Scalable Vector Graphics graphic ,wiki.topn3.replace,0.2099,mathml web browser engine konqueror Scalable Vector Graphics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood ,0.2558,2,termluster.topn5.3.bm25,0.3006,mississippi river flood flood river water flood mississippi water mississippi river water ,conceptluster.topn5.3.bm25,0.2955,mississippi river flood flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
