qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
360,drug legalization benefits ,0.1282,9,stem.trunc5,0.4204,drug legal benef ,wordnet.topn3,0.3615,drug legalization benefits dose do drugs legalisation legitimation gain do good welfare ,word2vec.topn3,0.3086,drug legalization benefits narcotics legalisation decriminalization advantages detriments ,word2vec.topn3.replace,0.2535,narcotics legalisation decriminalization advantages detriments ,glove.topn3,0.2367,drug legalization benefits trafficking decriminalization moreover ,wordnet.topn3.replace,0.2069,do drugs dose legalisation legitimation do good gain welfare ,tagmee.topn3,0.2017,drug legalization benefits Drug liberalization Welfare ,conceptluster.topn5.3.bm25.rm3,0.2017,drug legalization benefits drug liberalization welfare ,glove.topn3.replace,0.1426,trafficking decriminalization moreover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops ,0.425,11,docluster.topn10.3.bm25.rm3,0.6543,clothing sweatshops said sew ,wiki.topn3.replace,0.6427,footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,conceptnet.topn3,0.6327,clothing sweatshops the closet dress a drawer ,wiki.topn3,0.5827,clothing sweatshops footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,relevancefeedback.topn10.bm25.rm3,0.5546,clothing sweatshops labor said sew home cloth bill ,word2vec.topn3,0.5354,clothing sweatshops apparel garments sweat shops ,termluster.topn5.3.bm25.rm3,0.5346,clothing sweatshops worker wage sweatshop worker wage manufactur ,wordnet.topn3,0.4633,clothing sweatshops cloak vesture raiment ,sensedisambiguation,0.4429,clothing sweatshops sweatshop ,thesaurus.topn3,0.4408,clothing sweatshops  accouterment apparel  foundry plant ,glove.topn3,0.4407,clothing sweatshops apparel em ,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling ,0.2293,3,termluster.topn5.3.bm25.rm3,0.32299999999999995,human smuggling citi illeg peopl year peopl illeg ,tagmee.topn3,0.2319,human smuggling People smuggling ,conceptluster.topn5.3.bm25.rm3,0.2319,human smuggling people smuggling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters ,0.0226,3,word2vec.topn3.replace,0.0805,transporation tunnel catastrophes calamities ,word2vec.topn3,0.0395,transportation tunnel disasters transporation catastrophes calamities ,sensedisambiguation.replace,0.0267,transportation system tunnel disaster ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,rabies ,0.5488,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino ,0.6613,6,relevancefeedback.topn10.bm25.rm3,0.6937,el nino water australia said warm drought june fishmeal ,wiki.topn3,0.6919,el nino natural history of oceania laktoba geography of tonga El Niño ,wordnet.topn3,0.6787,el nino ALT elevated railroad ,sensedisambiguation,0.6642,El elevation Nino ,tagmee.topn3,0.6624,el nino El Niño ,conceptluster.topn5.3.bm25.rm3,0.6624,el nino el niño ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses ,0.4595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy ,0.0521,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization ,0.4765,9,relevancefeedback.topn10.bm25.rm3,0.5724,in vitro fertilization he york center fertil embryo she have case davi said ,anchor.topn3,0.5688,vitro fertilization vitro    oocyte  fertilisation embryo ,wiki.topn3,0.5367,vitro fertilization vasectomy ectopic pregnancy sudden infant death syndrome In vitro fertilisation ,glove.topn3,0.5289,vitro fertilization fertilization ivf vitro fertilisation ,docluster.topn10.3.bm25.rm3,0.5215,in vitro fertilization he embryo davi ,anchor.topn3.replace,0.5178,vitro    oocyte  fertilisation embryo fertilization ,termluster.topn5.3.bm25.rm3,0.5021,vitro fertilization said ,thesaurus.topn3,0.4883,vitro fertilization   covering dressing ,conceptnet.topn3,0.4852,vitro fertilization creation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia ,0.2668,10,conceptnet.topn3,0.6032,anorexia nervosa bulimia an eating disorder ,wiki.topn3.replace,0.4762,anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wiki.topn3,0.4562,anorexia nervosa bulimia anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wordnet.topn3,0.4195,anorexia nervosa bulimia binge eating syndrome ,anchor.topn3,0.3724,anorexia nervosa bulimia bulimia appetite  binge purg dentinosa albovenusa tetraporandra orthorexia binge purg trivalvaria ,word2vec.topn3,0.2802,anorexia nervosa bulimia bulimia anorexic Orthorexia Anorexia orthorexia anorexia bulimic ,wordnet.topn3.replace,0.2786,anorexia nervosa binge eating syndrome ,tagmee.topn3.replace,0.2758,Anorexia nervosa Bulimia nervosa ,tagmee.topn3,0.2722,anorexia nervosa bulimia Anorexia nervosa Bulimia nervosa ,conceptluster.topn5.3.bm25.rm3,0.2722,anorexia nervosa bulimia anorexia nervosa bulimia nervosa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food drug laws ,0.0185,7,glove.topn3,0.0385,food drug laws regulations ,glove.topn3.replace,0.0341,food drug regulations ,wiki.topn3.replace,0.0294,foods cuisine meat Food marihuana tax act of      buprenorphine purfood and drug act Prohibition of drugs ,conceptnet.topn3,0.0285,food drug laws rules ,relevancefeedback.topn10.bm25.rm3,0.0247,food drug laws said dr al claim fda food drug ha ,tagmee.topn3,0.0205,food drug laws Food Prohibition of drugs ,conceptluster.topn5.3.bm25.rm3,0.0205,food drug laws prohibition drugs food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic ,0.005,13,thesaurus.topn3,0.0205,health insurance holistic  energy fitness  allowance coverage  comprehensive integrated ,thesaurus.topn3.replace,0.0196,energy fitness  allowance coverage  comprehensive integrated ,sensedisambiguation,0.0175,health insurance policy holistic ,tagmee.topn3,0.0143,health insurance holistic Health insurance Holistic health ,conceptluster.topn5.3.bm25.rm3,0.0143,health insurance holistic health insurance holistic health ,tagmee.topn3.replace,0.0141,Health insurance Holistic health ,termluster.topn5.3.bm25.rm3,0.0135,health insurance holistic peopl sai ,wiki.topn3,0.0132,health insurance holistic health insurance types of insurance medicar united states  Health insurance integrativmedicine mindfulness based stress reduction psychiatric times Holistic health ,conceptnet.topn3,0.01,health insurance holistic eating vegetables maintaining muscle strength riding a bicycle expensive term insurance business interruption insurance ,wiki.topn3.replace,0.0074,health insurance types of insurance medicar united states  Health insurance integrativmedicine mindfulness based stress reduction psychiatric times Holistic health ,stem.lovins,0.0069,health insur hol ,word2vec.topn3,0.0065,health insurance holistic well being wellbeing nutrition premiums wholistic integrative ,anchor.topn3.replace,0.0061,mapogo center midland health northwest insurance holistic ,,,,,,,,,,,,,,,,,,,,,
372,Native American casino ,0.2662,4,conceptnet.topn3,0.506,native american casino indian chief person dollar ,relevancefeedback.topn10.bm25.rm3,0.3643,native american casino pequot indian gambl reserv vega davi game warrior ,wordnet.topn3.replace,0.2807,aboriginal indigen American English American language cassino gambling casino ,wordnet.topn3,0.2753,native american casino indigene aboriginal American language American English gambling casino cassino ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export ,0.1115,2,stem.lovins,0.1567,encrypt equipm export ,relevancefeedback.topn10.bm25.rm3,0.114,encryption equipment export encrypt us ntt gsm chip softwar internet system ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners ,0.2804,16,stem.trunc5,0.4876,nobel prize winne ,tagmee.topn3.replace,0.4807,Nobel Prize ,wordnet.topn3,0.4664,nobel prize winners Alfred Bernhard Nobel Alfred Nobel jimmy prise prime succeeder achiever ,wiki.topn3.replace,0.45899999999999996,awards established in      nobel prizin physics maricurie Nobel Prize ,wordnet.topn3.replace,0.4543,Alfred Bernhard Nobel Alfred Nobel choice value pry victor succeeder success ,glove.topn3.replace,0.4483,laureate prize nobel finalists ,glove.topn3,0.4477,nobel prize winners laureate prize nobel finalists ,wiki.topn3,0.4334,nobel prize winners awards established in      nobel prizin physics maricurie Nobel Prize ,conceptnet.topn3,0.41700000000000004,nobel prize winners Alfred Bernhard Nobel reward value happy ,anchor.topn3,0.40399999999999997,nobel prize winners  nobel exaucé             starodubka friedebert sødringsk ,stem.paicehusk,0.4016,nobel priz win ,tagmee.topn3,0.385,nobel prize winners Nobel Prize ,conceptluster.topn5.3.bm25.rm3,0.385,nobel prize winners nobel prize ,anchor.topn3.replace,0.3243,nobel exaucé             starodubka friedebert sødringsk winners ,stem.lovins,0.3117,nobel priz winner ,thesaurus.topn3,0.2912,nobel prize winners   outstanding topnotch  champ champion ,,,,,,,,,,,,
375,hydrogen energy ,0.2244,4,word2vec.topn3,0.574,hydrogen energy helium deuterium enery ,word2vec.topn3.replace,0.4093,helium deuterium enery ,conceptnet.topn3,0.2466,hydrogen energy an element Exercising power heat ,glove.topn3,0.2433,hydrogen energy helium peroxide electricity renewable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court ,0.0207,2,termluster.topn5.3.bm25.rm3,0.0469,world court court intern intern world ,tagmee.topn3.replace,0.0321,International Court of Justice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking ,0.3756,5,stem.lovins,0.4223,cigar smok ,wordnet.topn3.replace,0.4216,cigar fume ,stem.trunc5,0.4091,cigar smoki ,thesaurus.topn3,0.4023,cigar smoking  belvedere bouquet  crazed delirious ,relevancefeedback.topn10.bm25.rm3,0.4002,cigar smoking castro he said smoke hi tax ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition ,0.0079,12,glove.topn3.replace,0.1611,currency european supporters opponents ,wiki.topn3.replace,0.1219,currencies of the caribbean symbols of the european union      in economics Euro election boycott clientelism electoral list Opposition  politics ,wiki.topn3,0.1098,euro opposition currencies of the caribbean symbols of the european union      in economics Euro election boycott clientelism electoral list Opposition  politics ,glove.topn3,0.0548,euro opposition currency european supporters opponents ,conceptnet.topn3,0.0221,euro opposition europe against mutual opposition ,thesaurus.topn3,0.0125,euro opposition  bandicoot kangaroo  action hostility ,word2vec.topn3,0.0117,euro opposition opponents ,sensedisambiguation,0.0117,euro opposition resistance ,tagmee.topn3.replace,0.011000000000000001,Euro Opposition  politics ,word2vec.topn3.replace,0.0091,euro opponents ,tagmee.topn3,0.0081,euro opposition Euro Opposition  politics ,conceptluster.topn5.3.bm25.rm3,0.0081,euro opposition euro opposition politics ,,,,,,,,,,,,,,,,,,,,,,,,
379,mainstreaming ,0.0145,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment ,0.2414,8,tagmee.topn3,0.4125,obesity medical treatment Obesity Therapy ,conceptluster.topn5.3.bm25.rm3,0.4125,obesity medical treatment obesity therapy ,wiki.topn3,0.3297,obesity medical treatment bariatrics overweight body shape Obesity diagnosis hyperkinetic disorder symptom Therapy ,relevancefeedback.topn10.bm25.rm3,0.2948,obesity medical treatment diet weight obes drug diabet cholesterol salt children camp ,anchor.topn3.replace,0.2939,obesity zéphire prehistoriqu infirmièr tretman   poseban  treatment ,sensedisambiguation,0.251,obesity fleshiness medical treatment ,glove.topn3,0.2508,obesity medical treatment diabetes overweight doctors hospital treated treat ,conceptnet.topn3.replace,0.2489,obesity medical dealing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine ,0.0601,2,wiki.topn3.replace,0.0852,holistic health homeopathy alternative and traditional medicine journals Alternative medicine ,wiki.topn3,0.0736,alternative medicine holistic health homeopathy alternative and traditional medicine journals Alternative medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles ,0.6079,4,sensedisambiguation,0.6586,hydrogen fuel automobiles car ,conceptluster.topn5.3.bm25.rm3,0.6459999999999999,hydrogen fuel automobiles hydrogen vehicle car ,wiki.topn3,0.6266,hydrogen fuel automobiles hydrogen vehicles fuel efficiency green car congress Hydrogen vehicle hydrogen vehicles fuel efficiency green car congress Hydrogen vehicle wheeled vehicles automobiles assembly line Car ,wiki.topn3.replace,0.6255,hydrogen vehicles fuel efficiency green car congress Hydrogen vehicle hydrogen vehicles fuel efficiency green car congress Hydrogen vehicle wheeled vehicles automobiles assembly line Car ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs ,0.0244,9,wiki.topn3,0.0628,mental illness drugs mania personality disorder psychosis Mental disorder opiate empathogen entactogen antidepressant Psychoactive drug ,tagmee.topn3.replace,0.0616,Mental disorder Psychoactive drug ,wiki.topn3.replace,0.0562,mania personality disorder psychosis Mental disorder opiate empathogen entactogen antidepressant Psychoactive drug ,tagmee.topn3,0.0538,mental illness drugs Mental disorder Psychoactive drug ,conceptluster.topn5.3.bm25.rm3,0.0538,mental illness drugs psychoactive drug mental disorder ,sensedisambiguation,0.0443,mental illness drugs drug ,wordnet.topn3,0.0437,mental illness drugs genial sickness unwellness malady dose do drugs ,conceptnet.topn3,0.0402,mental illness drugs disease cloud your mind substances ,thesaurus.topn3,0.0313,mental illness drugs  cerebral intellectual  ailment breakdown  cure medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon ,0.2017,3,wordnet.topn3,0.2365,space station moon infinite blank space post place lunation ,anchor.topn3,0.2174,space station moon  ss l  nelsh space triangl shimoyashiki station bird negeori   tertiari    icy      knockout ,sensedisambiguation,0.2018,space station moon moonlight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,hybrid fuel cars ,0.5376,7,word2vec.topn3,0.5895,hybrid fuel cars non hybrid gasoline automobiles vehicles ,anchor.topn3,0.5783,hybrid fuel cars reassoci   arbutu hybrids goos fuel inject mixed oxid gas motor geilli idlicot schiedt ,tagmee.topn3.replace,0.5697,Hybrid vehicle Fuel Car ,relevancefeedback.topn10.bm25.rm3,0.5646,hybrid fuel cars batteri engin car electr daimler    hydrogen buse ,tagmee.topn3,0.5598,hybrid fuel cars Hybrid vehicle Fuel Car ,conceptluster.topn5.3.bm25.rm3,0.5598,hybrid fuel cars car fuel hybrid vehicle ,termluster.topn5.3.bm25.rm3,0.5559,hybrid fuel cars batteri electr emiss ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,teaching disabled children ,0.0549,5,stem.lovins,0.071,teach disabl childr ,thesaurus.topn3,0.065,teaching disabled children  coaching cultivation  handicapped infirm  adolescent baby ,word2vec.topn3,0.0641,teaching disabled children learning instruction handicapped kids adults parents ,docluster.topn10.3.bm25.rm3,0.0628,teaching disabled children school work ,wiki.topn3.replace,0.0556,knowledge sharing philosophy of education education Education advocacy special needs learning disability Disability childhood adoption overweight Child ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,radioactive waste ,0.0961,1,wiki.topn3,0.11199999999999999,radioactive waste nuclear power plant fossil fuel enriched uranium Radioactive waste ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement ,0.0251,10,word2vec.topn3,0.0678,organic soil enhancement inorganic non organic subsoil augmentation ,stem.trunc5,0.0538,organ soil enhan ,conceptnet.topn3,0.0535,organic soil enhancement ground a potato ,wordnet.topn3,0.0479,organic soil enhancement organic fertiliser constitutive begrime grunge territory sweetening ,conceptluster.topn5.3.bm25.rm3,0.0396,organic soil enhancement soil ,wordnet.topn3.replace,0.0358,constitutional organic fertilizer land filth bemire sweetening ,tagmee.topn3,0.0346,organic soil enhancement Soil Soil ,stem.trunc4,0.0274,orga soil enha ,glove.topn3,0.0268,organic soil enhancement inorganic produce surface ,tagmee.topn3.replace,0.0253,Soil Soil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,illegal technology transfer ,0.0112,1,stem.paicehusk,0.0254,illeg technolog transf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs ,0.4092,5,docluster.topn10.3.bm25.rm3,0.5229,orphan drugs amgen drug aid ,relevancefeedback.topn10.bm25.rm3,0.5215,orphan drugs drug amgen aid diseas ,termluster.topn5.3.bm25.rm3,0.4798,orphan drugs said diseas approv ,sensedisambiguation,0.4732,orphan drugs drug ,wiki.topn3,0.4409,orphan drugs pantoprazole proteasinhibitor  pharmacology  ambrisentan Orphan drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R D drug prices ,0.479,8,tagmee.topn3,0.5247,r   drug prices Research and development Pharmaceutical drug Price ,conceptluster.topn5.3.bm25.rm3,0.5247,r   drug prices pharmaceutical drug price research development ,termluster.topn5.3.bm25.rm3,0.5053,r   drug prices compani develop sale ,docluster.topn10.3.bm25.rm3,0.4949,r d drug prices cent n ,sensedisambiguation,0.4896,R roentgen   D drug prices price ,conceptnet.topn3.replace,0.4859,r   drug prices ,tagmee.topn3.replace,0.4837,Research and development Pharmaceutical drug Price ,wiki.topn3,0.4832,r   drug prices research and development quality assurance microelectronics Research and development musclrelaxant bupropion paracetamol Pharmaceutical drug demand markup  business  marginal cost Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,robotics ,0.4873,1,termluster.topn5.3.bm25.rm3,0.5181,robotics year sai new ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing ,0.0407,6,wiki.topn3,0.2697,mercy killing suicide types terminal illness eugenics Euthanasia ,wiki.topn3.replace,0.2538,suicide types terminal illness eugenics Euthanasia ,tagmee.topn3,0.1977,mercy killing Euthanasia ,conceptluster.topn5.3.bm25.rm3,0.1977,mercy killing euthanasia ,tagmee.topn3.replace,0.16399999999999998,Euthanasia ,conceptnet.topn3,0.049,mercy killing death guilt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling ,0.0016,3,glove.topn3,0.0048,home schooling where come education educations ,word2vec.topn3,0.0043,home schooling house education ,glove.topn3.replace,0.002,where come education educations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,tourism ,0.1524,7,termluster.topn5.3.bm25.rm3,0.18,tourism develop invest tourist ,conceptnet.topn3,0.1773,tourism tourist ,glove.topn3,0.1762,tourism tourist industry ,word2vec.topn3,0.1754,tourism tourist tourism related ,word2vec.topn3.replace,0.1722,tourist tourism related ,glove.topn3.replace,0.1667,tourist industry ,wordnet.topn3,0.1561,tourism touristry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome ,0.1389,4,docluster.topn10.3.bm25.rm3,0.1646,sick building syndrome fibr build have ,sensedisambiguation,0.1604,sick building construction syndrome ,wiki.topn3,0.1601,sick building syndrome green cleaning greenguard environmental institute biomedical waste Sick building syndrome ,stem.trunc5,0.1415,sick build syndr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls ,0.0329,6,sensedisambiguation.replace,0.5718,car recall ,sensedisambiguation,0.2035,automobile car recalls recall ,glove.topn3.replace,0.0942,auto recalls ,stem.paicehusk,0.0486,automobl recal ,conceptnet.topn3,0.0478,automobile recalls car ,wordnet.topn3,0.0379,automobile recalls motorcar auto call in come back withdraw ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe s arsenal ,0.0152,14,stem.trunc5,0.1168,disma europ   s arsen ,word2vec.topn3,0.1114,dismantling europe  s arsenal demolishing germany european europe  s of  s s armoury weapon ,wiki.topn3,0.1105,dismantling europe  s arsenal cultural concepts peninsulas of asia europe Europe armories  military  arsenals embrasure Arsenal ,word2vec.topn3.replace,0.1043,demolishing germany european europe  s of  s s armoury weapon ,wordnet.topn3,0.1001,dismantling europe  s arsenal take down raze pull down Common Market European Community armoury armory ,sensedisambiguation,0.0981,dismantling strip Europe european union  s arsenal ,conceptnet.topn3,0.0981,dismantling europe  s arsenal a kingdom continent a castle ,tagmee.topn3.replace,0.09,Europe Arsenal ,glove.topn3,0.0867,dismantling europe  s arsenal european asia  s whose gunners chelsea ,sensedisambiguation.replace,0.0862,strip european union  s arsenal ,thesaurus.topn3,0.0821,dismantling europe  s arsenal  break up demolish    armory depository ,wiki.topn3.replace,0.079,cultural concepts peninsulas of asia europe Europe armories  military  arsenals embrasure Arsenal ,tagmee.topn3,0.0782,dismantling europe  s arsenal Europe Arsenal ,conceptluster.topn5.3.bm25.rm3,0.035,dismantling europe  s arsenal arsenal ,,,,,,,,,,,,,,,,,,
399,oceanographic vessels ,0.2252,1,conceptnet.topn3,0.2285,oceanographic vessels palaeoceanographic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Amazon rain forest ,0.4863,10,glove.topn3.replace,0.5514,amazonian amazon com downpour woodland ,glove.topn3,0.5483,amazon rain forest amazonian amazon com downpour woodland ,tagmee.topn3,0.5362,amazon rain forest Amazon rainforest ,conceptluster.topn5.3.bm25.rm3,0.5362,amazon rain forest amazon rainforest ,wiki.topn3,0.5335,amazon rain forest natural history of ecuador forestry in south america natural history of peru Amazon rainforest ,termluster.topn5.3.bm25.rm3,0.529,amazon rain forest brazil forest rain amazon brazil forest amazon brazil rain ,word2vec.topn3,0.5153,amazon rain forest amazon com downpour forestry woods ,tagmee.topn3.replace,0.5076,Amazon rainforest ,anchor.topn3,0.5021,amazon rain forest  amazona  amazon амазонки    anti orang delicada   chuva       evy  adawá ,docluster.topn10.3.bm25.rm3,0.4952,amazon rain forest have ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,foreign minorities  Germany ,0.0269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics ,0.2443,3,termluster.topn5.3.bm25.rm3,0.2931,behavioral genetics studi said research ,wiki.topn3,0.2834,behavioral genetics behavior genetics association eysenck personality questionnaire evolutionary developmental psychology Behavioural genetics ,wiki.topn3.replace,0.2746,behavior genetics association eysenck personality questionnaire evolutionary developmental psychology Behavioural genetics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis ,0.4886,3,docluster.topn10.3.bm25.rm3,0.5317,osteoporosis fractur bone ,termluster.topn5.3.bm25.rm3,0.5308,osteoporosis women bone ,relevancefeedback.topn10.bm25.rm3,0.4911,osteoporosis fractur bone daughter studi hrt my women   risk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Ireland  peace talks ,0.1734,6,anchor.topn3,0.2387,ireland peace talks killeevi donaghcump  i ,docluster.topn10.3.bm25.rm3,0.2141,ireland  peace talks govern he mr ,thesaurus.topn3,0.1893,ireland peace talks   accord friendship  lecture allocution ,conceptnet.topn3,0.1805,ireland peace talks a country a potato war negotiation ,sensedisambiguation,0.18,Ireland   peace talks talk ,wordnet.topn3.replace,0.1748,Irish Republic Emerald Isle peace of mind ataraxis peace treaty babble blab out sing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,cosmic events ,0.0933,7,thesaurus.topn3,0.1444,cosmic events  global grandiose  accident act ,relevancefeedback.topn10.bm25.rm3,0.1317,cosmic events energi space particl univers radiat   fox dust earth have ,sensedisambiguation,0.1139,cosmic events event ,wordnet.topn3,0.1121,cosmic events result case outcome ,tagmee.topn3,0.1045,cosmic events Cosmos Event  relativity ,conceptluster.topn5.3.bm25.rm3,0.1045,cosmic events event relativity cosmos ,glove.topn3,0.099,cosmic events galactic k      addition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson s disease ,0.4876,3,relevancefeedback.topn10.bm25.rm3,0.6137,parkinson s disease parkinson diseas cell brain abort he ,docluster.topn10.3.bm25.rm3,0.5912,parkinson s disease cell ,termluster.topn5.3.bm25.rm3,0.4974,parkinson  s disease diseas brain cell research parkinson cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,poaching  wildlife preserves ,0.332,5,glove.topn3,0.4126,poaching wildlife preserves poachers shmahn conservation wetlands ,wordnet.topn3,0.3521,poaching wildlife preserves carry on save ,wordnet.topn3.replace,0.3471,poaching wildlife save uphold ,tagmee.topn3,0.3423,poaching wildlife preserves Poaching  cooking  Wildlife Food preservation ,conceptluster.topn5.3.bm25.rm3,0.3423,poaching wildlife preserves poaching cooking wildlife food preservation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,tropical storms ,0.1366,8,word2vec.topn3.replace,0.233,subtropical hurricanes cyclones ,word2vec.topn3,0.1959,tropical storms subtropical hurricanes cyclones ,relevancefeedback.topn10.bm25.rm3,0.1813,tropical storms storm tropic hurrican said ,glove.topn3,0.1574,tropical storms storm cyclone floods ,anchor.topn3,0.157,tropical storms ondimbo amissa rostraureum ,sensedisambiguation,0.1531,tropical storms storm ,wordnet.topn3,0.142,tropical storms surprise rage force ,wordnet.topn3.replace,0.1396,tropical surprise violent storm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,legal  Pan Am ,0.0599,4,termluster.topn5.3.bm25.rm3,0.0977,legal pan     bomb flight said ,tagmee.topn3,0.0869,legal pan     Pan American World Airways Pan Am Flight ,conceptluster.topn5.3.bm25.rm3,0.0852,legal pan     pan flight     pan american world airways ,tagmee.topn3.replace,0.0615,Pan American World Airways Pan Am Flight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Schengen agreement ,0.8946,7,conceptnet.topn3,0.9025,schengen agreement accord deal getting a contract ,glove.topn3,0.9016,schengen agreement obliges borderless accord ,wiki.topn3,0.8993,schengen agreement schengen  luxembourg      in the european economicommunity policand judicial co operation in criminal matters Schengen Agreement ,word2vec.topn3,0.8963,schengen agreement Shengen eea non Schengen agreeement ,thesaurus.topn3,0.8962,schengen agreement   accord arrangement ,wordnet.topn3,0.8962,schengen agreement accord arrangement ,wiki.topn3.replace,0.8952,schengen  luxembourg      in the european economicommunity policand judicial co operation in criminal matters Schengen Agreement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
