qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
361,clothing sweatshops ,0.4398,7,termluster.topn5.3.qld,0.6171,clothing sweatshops wage sweatshop law wage law labor ,docluster.topn10.3.qld,0.6146,clothing sweatshops said sew ,wiki.topn3,0.6004,clothing sweatshops footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,relevancefeedback.topn10.qld,0.5863,clothing sweatshops said cloth labor sew home bill our ,wiki.topn3.replace,0.5147,footwear fashion accessory sewing Clothing big business exploitation rent control Sweatshop ,sensedisambiguation,0.4763,clothing sweatshops sweatshop ,word2vec.topn3,0.4459,clothing sweatshops apparel garments sweat shops ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling ,0.1076,2,word2vec.topn3,0.1824,human smuggling non human nonhuman smugglers smuggler ,word2vec.topn3.replace,0.129,non human nonhuman smugglers smuggler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters ,0.0727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,rabies ,0.5831,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino ,0.6171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses ,0.4483,2,tagmee.topn3,0.452,commercial cyanide uses Hydrogen cyanide ,conceptluster.topn5.3.qld,0.452,commercial cyanide uses hydrogen cyanide ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy ,0.0628,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization ,0.4256,5,termluster.topn5.3.qld,0.5659,vitro fertilization said implant egg ,relevancefeedback.topn10.qld,0.5449,in vitro fertilization center fertil she he york have sai david embryo said ,anchor.topn3.replace,0.4981,vitro    oocyte  fertilisation embryo fertilization ,anchor.topn3,0.4612,vitro fertilization vitro    oocyte  fertilisation embryo ,glove.topn3,0.4432,vitro fertilization fertilization ivf vitro fertilisation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia ,0.2704,8,conceptnet.topn3,0.4786,anorexia nervosa bulimia an eating disorder ,wiki.topn3.replace,0.4345,anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wiki.topn3,0.4078,anorexia nervosa bulimia anorexia nervosa eating disorder major depressivdisorder Anorexia nervosa eating disorder bingeating oophorectomy Bulimia nervosa ,wordnet.topn3,0.3091,anorexia nervosa bulimia binge eating syndrome ,wordnet.topn3.replace,0.2891,anorexia nervosa binge eating syndrome ,tagmee.topn3,0.2736,anorexia nervosa bulimia Anorexia nervosa Bulimia nervosa ,tagmee.topn3.replace,0.2736,Anorexia nervosa Bulimia nervosa ,conceptluster.topn5.3.qld,0.2736,anorexia nervosa bulimia anorexia nervosa bulimia nervosa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food drug laws ,0.0075,7,glove.topn3.replace,0.0268,food drug regulations ,glove.topn3,0.0128,food drug laws regulations ,relevancefeedback.topn10.qld,0.0119,food drug laws said drug dr our food carcinogen plant ,tagmee.topn3,0.0113,food drug laws Food Prohibition of drugs ,conceptluster.topn5.3.qld,0.0113,food drug laws prohibition drugs food ,termluster.topn5.3.qld,0.0092,food drug laws respons market health ,wiki.topn3,0.009000000000000001,food drug laws foods cuisine meat Food marihuana tax act of      buprenorphine purfood and drug act Prohibition of drugs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic ,0.0015,16,wiki.topn3.replace,0.0252,health insurance types of insurance medicar united states  Health insurance integrativmedicine mindfulness based stress reduction psychiatric times Holistic health ,thesaurus.topn3,0.0207,health insurance holistic  energy fitness  allowance coverage  comprehensive integrated ,wiki.topn3,0.018000000000000002,health insurance holistic health insurance types of insurance medicar united states  Health insurance integrativmedicine mindfulness based stress reduction psychiatric times Holistic health ,thesaurus.topn3.replace,0.0147,energy fitness  allowance coverage  comprehensive integrated ,wordnet.topn3,0.0125,health insurance holistic wellness indemnity insurance policy ,word2vec.topn3,0.0071,health insurance holistic well being wellbeing nutrition premiums wholistic integrative ,relevancefeedback.topn10.qld,0.0055,health insurance holistic he you enright food busi popul her organ altern ,tagmee.topn3.replace,0.0046,Health insurance Holistic health ,stem.lovins,0.0032,health insur hol ,anchor.topn3,0.003,health insurance holistic mapogo center midland health northwest ,tagmee.topn3,0.0029,health insurance holistic Health insurance Holistic health ,conceptluster.topn5.3.qld,0.0029,health insurance holistic health insurance holistic health ,glove.topn3,0.0027,health insurance holistic care healthcare premiums emphasizes spirituality ,conceptnet.topn3,0.0023,health insurance holistic eating vegetables maintaining muscle strength riding a bicycle expensive term insurance business interruption insurance ,sensedisambiguation,0.0022,health insurance policy holistic ,termluster.topn5.3.qld,0.0017,health insurance holistic need peopl ,,,,,,
372,Native American casino ,0.0874,5,conceptnet.topn3,0.2044,native american casino indian chief person dollar ,relevancefeedback.topn10.qld,0.1628,native american casino indian pequot historian davi who vega we dollar rate ,wordnet.topn3,0.1602,native american casino indigene aboriginal American language American English gambling casino cassino ,glove.topn3,0.1469,native american casino   u s  gambling ,anchor.topn3,0.0947,native american casino  hangu  bodinier  snj    aquasino casinos lans casino hessel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export ,0.0939,1,stem.lovins,0.1072,encrypt equipm export ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners ,0.3221,11,tagmee.topn3.replace,0.4731,Nobel Prize ,wiki.topn3.replace,0.4658,awards established in      nobel prizin physics maricurie Nobel Prize ,stem.trunc5,0.449,nobel prize winne ,wiki.topn3,0.4401,nobel prize winners awards established in      nobel prizin physics maricurie Nobel Prize ,tagmee.topn3,0.4031,nobel prize winners Nobel Prize ,termluster.topn5.3.qld,0.4031,nobel prize winners prize nobel ,conceptluster.topn5.3.qld,0.4031,nobel prize winners nobel prize ,glove.topn3,0.3879,nobel prize winners laureate prize nobel finalists ,anchor.topn3,0.3843,nobel prize winners  nobel exaucé             starodubka friedebert sødringsk ,conceptnet.topn3,0.3738,nobel prize winners Alfred Bernhard Nobel reward value happy ,wordnet.topn3,0.3724,nobel prize winners Alfred Bernhard Nobel Alfred Nobel jimmy prise prime succeeder achiever ,,,,,,,,,,,,,,,,,,,,,
375,hydrogen energy ,0.2577,1,word2vec.topn3,0.2729,hydrogen energy helium deuterium enery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court ,0.0054,5,wiki.topn3.replace,0.0175,international court of justice international law international criminal court International Court of Justice ,wiki.topn3,0.013999999999999999,world court international court of justice international law international criminal court International Court of Justice ,tagmee.topn3.replace,0.0132,International Court of Justice ,tagmee.topn3,0.0069,world court International Court of Justice ,conceptluster.topn5.3.qld,0.0069,world court international court justice ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking ,0.3294,2,wiki.topn3,0.3537,cigar smoking cigars cigarette quaker oats company Cigar addiction habits tobacco smoking Smoking ,stem.lovins,0.3347,cigar smok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition ,0.0073,9,glove.topn3,0.0821,euro opposition currency european supporters opponents ,wiki.topn3,0.0598,euro opposition currencies of the caribbean symbols of the european union      in economics Euro election boycott clientelism electoral list Opposition  politics ,glove.topn3.replace,0.0476,currency european supporters opponents ,wiki.topn3.replace,0.0474,currencies of the caribbean symbols of the european union      in economics Euro election boycott clientelism electoral list Opposition  politics ,conceptnet.topn3,0.0187,euro opposition europe against mutual opposition ,tagmee.topn3.replace,0.0156,Euro Opposition  politics ,tagmee.topn3,0.0106,euro opposition Euro Opposition  politics ,conceptluster.topn5.3.qld,0.0106,euro opposition euro opposition politics ,word2vec.topn3,0.0092,euro opposition opponents ,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,mainstreaming ,0.0225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment ,0.1557,10,tagmee.topn3,0.3678,obesity medical treatment Obesity Therapy ,conceptluster.topn5.3.qld,0.3678,obesity medical treatment obesity therapy ,wiki.topn3,0.32299999999999995,obesity medical treatment bariatrics overweight body shape Obesity diagnosis hyperkinetic disorder symptom Therapy ,conceptnet.topn3.replace,0.2867,obesity medical dealing ,anchor.topn3.replace,0.2376,obesity zéphire prehistoriqu infirmièr tretman   poseban  treatment ,word2vec.topn3,0.2125,obesity medical treatment obesity related non medical medicine treament treatement ,relevancefeedback.topn10.qld,0.204,obesity medical treatment diet healthcar drug cholesterol weight have clinic plan ,word2vec.topn3.replace,0.18600000000000003,obesity related non medical medicine treament treatement ,docluster.topn10.3.qld,0.1779,obesity medical treatment have ,conceptnet.topn3,0.1631,obesity medical treatment exercise doctor operation dealing ,,,,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine ,0.0528,2,wiki.topn3,0.0811,alternative medicine holistic health homeopathy alternative and traditional medicine journals Alternative medicine ,wiki.topn3.replace,0.0804,holistic health homeopathy alternative and traditional medicine journals Alternative medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles ,0.6122,1,conceptluster.topn5.3.qld,0.6331,hydrogen fuel automobiles hydrogen vehicle car ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs ,0.0216,9,wiki.topn3,0.0408,mental illness drugs mania personality disorder psychosis Mental disorder opiate empathogen entactogen antidepressant Psychoactive drug ,sensedisambiguation,0.0388,mental illness drugs drug ,wiki.topn3.replace,0.0352,mania personality disorder psychosis Mental disorder opiate empathogen entactogen antidepressant Psychoactive drug ,tagmee.topn3.replace,0.0334,Mental disorder Psychoactive drug ,termluster.topn5.3.qld,0.0308,mental illness drugs drug ill becaus year treatment problem year treatment problem ,tagmee.topn3,0.0307,mental illness drugs Mental disorder Psychoactive drug ,conceptluster.topn5.3.qld,0.0307,mental illness drugs psychoactive drug mental disorder ,relevancefeedback.topn10.qld,0.0279,mental illness drugs said program patient we drug ill ,docluster.topn10.3.qld,0.0227,mental illness drugs said program patient ,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon ,0.2178,3,termluster.topn5.3.qld,0.3127,space station moon station year man space year man man space station ,word2vec.topn3,0.2696,space station moon space  railway lunar ,docluster.topn10.3.qld,0.2276,space station moon we ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,hybrid fuel cars ,0.302,8,termluster.topn5.3.qld,0.561,hybrid fuel cars electr would batteri emiss engin vehicl power onli ,relevancefeedback.topn10.qld,0.5454,hybrid fuel cars car batteri engin hydrogen electr vehicl ,tagmee.topn3.replace,0.3675,Hybrid vehicle Fuel Car ,tagmee.topn3,0.3618,hybrid fuel cars Hybrid vehicle Fuel Car ,conceptluster.topn5.3.qld,0.3618,hybrid fuel cars car fuel hybrid vehicle ,word2vec.topn3,0.34,hybrid fuel cars non hybrid gasoline automobiles vehicles ,glove.topn3,0.3266,hybrid fuel cars concept gasoline vehicles ,wiki.topn3,0.3105,hybrid fuel cars powertrain ac propulsion automotivaerodynamics Hybrid vehicle lubricant hydrocarbon biogas Fuel wheeled vehicles automobiles assembly line Car ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,teaching disabled children ,0.0289,8,relevancefeedback.topn10.qld,0.0868,teaching disabled children school center learn music he lesson orang disabl ,wordnet.topn3,0.0622,teaching disabled children instruction commandment disenable tiddler shaver nipper ,word2vec.topn3,0.051,teaching disabled children learning instruction handicapped kids adults parents ,word2vec.topn3.replace,0.0422,learning instruction handicapped kids adults parents ,wiki.topn3,0.0404,teaching disabled children knowledge sharing philosophy of education education Education advocacy special needs learning disability Disability childhood adoption overweight Child ,stem.lovins,0.0403,teach disabl childr ,termluster.topn5.3.qld,0.0376,teaching disabled children year school said school disabl said ,glove.topn3,0.0291,teaching disabled children taught handicapped elderly parents child ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,radioactive waste ,0.1361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,organic soil enhancement ,0.0275,4,stem.trunc5,0.052000000000000005,organ soil enhan ,conceptluster.topn5.3.qld,0.037000000000000005,organic soil enhancement soil ,wordnet.topn3,0.0323,organic soil enhancement organic fertiliser constitutive begrime grunge territory sweetening ,tagmee.topn3,0.0319,organic soil enhancement Soil Soil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,illegal technology transfer ,0.0074,1,stem.paicehusk,0.0088,illeg technolog transf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,orphan drugs ,0.0813,9,relevancefeedback.topn10.qld,0.4085,orphan drugs drug aid amgen diseas ,docluster.topn10.3.qld,0.4085,orphan drugs amgen drug aid ,termluster.topn5.3.qld,0.2211,orphan drugs drug patient year year patient orphan ,wordnet.topn3,0.1129,orphan drugs dose do drugs ,wordnet.topn3.replace,0.1055,orphan do drugs dose ,sensedisambiguation,0.1,orphan drugs drug ,word2vec.topn3,0.0942,orphan drugs medications ,glove.topn3,0.0942,orphan drugs medications ,wiki.topn3,0.0816,orphan drugs pantoprazole proteasinhibitor  pharmacology  ambrisentan Orphan drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,R D drug prices ,0.1488,10,tagmee.topn3,0.4792,r   drug prices Research and development Pharmaceutical drug Price ,conceptluster.topn5.3.qld,0.4792,r   drug prices pharmaceutical drug price research development ,tagmee.topn3.replace,0.4373,Research and development Pharmaceutical drug Price ,termluster.topn5.3.qld,0.3537,r   drug prices new cent compani ,wiki.topn3,0.3515,r   drug prices research and development quality assurance microelectronics Research and development musclrelaxant bupropion paracetamol Pharmaceutical drug demand markup  business  marginal cost Price ,conceptnet.topn3,0.2955,r   drug prices sale ,conceptnet.topn3.replace,0.2587,r   drug prices ,docluster.topn10.3.qld,0.2241,r d drug prices price compani ,wiki.topn3.replace,0.1981,research and development quality assurance microelectronics Research and development musclrelaxant bupropion paracetamol Pharmaceutical drug demand markup  business  marginal cost Price ,sensedisambiguation,0.1712,R roentgen   D drug prices price ,,,,,,,,,,,,,,,,,,,,,,,,
392,robotics ,0.4766,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,mercy killing ,0.0557,5,wiki.topn3,0.2093,mercy killing suicide types terminal illness eugenics Euthanasia ,wiki.topn3.replace,0.1845,suicide types terminal illness eugenics Euthanasia ,tagmee.topn3,0.1437,mercy killing Euthanasia ,conceptluster.topn5.3.qld,0.1437,mercy killing euthanasia ,tagmee.topn3.replace,0.1138,Euthanasia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,home schooling ,0.0086,1,relevancefeedback.topn10.qld,0.0091,home schooling school said children ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,tourism ,0.1396,4,conceptnet.topn3,0.1796,tourism tourist ,glove.topn3,0.17600000000000002,tourism tourist industry ,word2vec.topn3,0.17,tourism tourist tourism related ,word2vec.topn3.replace,0.1674,tourist tourism related ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,sick building syndrome ,0.163,4,docluster.topn10.3.qld,0.1798,sick building syndrome build have fibr ,sensedisambiguation,0.1747,sick building construction syndrome ,wiki.topn3,0.1738,sick building syndrome green cleaning greenguard environmental institute biomedical waste Sick building syndrome ,stem.trunc5,0.1692,sick build syndr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,automobile recalls ,0.019,6,sensedisambiguation.replace,0.1812,car recall ,sensedisambiguation,0.1,automobile car recalls recall ,glove.topn3.replace,0.066,auto recalls ,stem.paicehusk,0.0457,automobl recal ,relevancefeedback.topn10.qld,0.0432,automobile recalls seat automobil car diesel he semiconductor auto consum side she ,glove.topn3,0.0277,automobile recalls auto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,dismantling Europe s arsenal ,0.027000000000000003,8,wiki.topn3,0.0449,dismantling europe  s arsenal cultural concepts peninsulas of asia europe Europe armories  military  arsenals embrasure Arsenal ,tagmee.topn3.replace,0.0429,Europe Arsenal ,tagmee.topn3,0.0381,dismantling europe  s arsenal Europe Arsenal ,sensedisambiguation,0.0381,dismantling strip Europe european union  s arsenal ,word2vec.topn3,0.0378,dismantling europe  s arsenal demolishing germany european europe  s of  s s armoury weapon ,stem.trunc5,0.0362,disma europ   s arsen ,conceptnet.topn3,0.0325,dismantling europe  s arsenal a kingdom continent a castle ,wiki.topn3.replace,0.0298,cultural concepts peninsulas of asia europe Europe armories  military  arsenals embrasure Arsenal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,oceanographic vessels ,0.1586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Amazon rain forest ,0.3891,7,tagmee.topn3,0.4795,amazon rain forest Amazon rainforest ,conceptluster.topn5.3.qld,0.4795,amazon rain forest amazon rainforest ,termluster.topn5.3.qld,0.4717,amazon rain forest brazil forest rain amazon brazil forest amazon brazil rain ,glove.topn3,0.4316,amazon rain forest amazonian amazon com downpour woodland ,wiki.topn3,0.4267,amazon rain forest natural history of ecuador forestry in south america natural history of peru Amazon rainforest ,relevancefeedback.topn10.qld,0.42100000000000004,amazon rain forest have mend fund ,word2vec.topn3,0.4146,amazon rain forest amazon com downpour forestry woods ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,foreign minorities  Germany ,0.0331,2,termluster.topn5.3.qld,0.0417,foreign minorities germany german germani german foreign ,wordnet.topn3,0.038,foreign minorities germany strange alien nonage Federal Republic of Germany FRG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,behavioral genetics ,0.1386,3,relevancefeedback.topn10.qld,0.1651,behavioral genetics studi i risk schizophrenia primat femal twin diseas homosexu dna ,termluster.topn5.3.qld,0.1482,behavioral genetics studi ,wiki.topn3,0.1426,behavioral genetics behavior genetics association eysenck personality questionnaire evolutionary developmental psychology Behavioural genetics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,osteoporosis ,0.4664,2,docluster.topn10.3.qld,0.5429,osteoporosis fractur bone ,termluster.topn5.3.qld,0.5302,osteoporosis women fractur bone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Ireland  peace talks ,0.1507,2,docluster.topn10.3.qld,0.1616,ireland  peace talks govern he we ,anchor.topn3,0.1551,ireland peace talks killeevi donaghcump  i ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,cosmic events ,0.06,2,relevancefeedback.topn10.qld,0.1098,cosmic events energi radiat fox earth particl space festiv univers star have ,wordnet.topn3,0.062,cosmic events result case outcome ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Parkinson s disease ,0.4493,1,relevancefeedback.topn10.qld,0.5349,parkinson s disease parkinson diseas he i abort brain cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,poaching  wildlife preserves ,0.3118,1,glove.topn3,0.3157,poaching wildlife preserves poachers shmahn conservation wetlands ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,tropical storms ,0.0896,8,word2vec.topn3,0.171,tropical storms subtropical hurricanes cyclones ,glove.topn3,0.1605,tropical storms storm cyclone floods ,relevancefeedback.topn10.qld,0.12300000000000001,tropical storms storm tropic said hurrican banana ,glove.topn3.replace,0.1156,storm cyclone floods ,word2vec.topn3.replace,0.1134,subtropical hurricanes cyclones ,tagmee.topn3.replace,0.1069,Tropical cyclone Tropical cyclone ,sensedisambiguation,0.1022,tropical storms storm ,tagmee.topn3,0.0979,tropical storms Tropical cyclone Tropical cyclone ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,legal  Pan Am ,0.0355,4,wiki.topn3,0.0706,legal pan     lockheed l     constellation civil aeronautics board eastern air lines Pan American World Airways aviation accidents and incidents in scotland terrorist incidents in      airliner bombings Pan Am Flight ,docluster.topn10.3.qld,0.0467,legal  pan am      bomb threat said commiss ,tagmee.topn3,0.0385,legal pan     Pan American World Airways Pan Am Flight ,relevancefeedback.topn10.qld,0.037000000000000005,legal  pan am      commiss bomb threat said syrian airlin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Schengen agreement ,0.8313,5,wordnet.topn3.replace,0.8852,schengen accord correspondence ,termluster.topn5.3.qld,0.8636,schengen agreement border control countri ,docluster.topn10.3.qld,0.858,schengen agreement control minist ,word2vec.topn3,0.8558,schengen agreement Shengen eea non Schengen agreeement ,anchor.topn3,0.8412,schengen agreement pre schengen hlinecko india e tourist canthophri somileptu non circumv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,salvaging  shipwreck  treasure ,0.223,1,wordnet.topn3,0.23199999999999998,salvaging shipwreck treasure save salve scavenge wreck hoarded wealth value appreciate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,airport security ,0.214,1,docluster.topn10.3.qld,0.2231,airport security secur ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,steel production ,0.1128,3,tagmee.topn3,0.1229,steel production Steel Steel ,conceptluster.topn5.3.qld,0.1203,steel production steel ,tagmee.topn3.replace,0.1186,Steel Steel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Cuba  sugar  exports ,0.2246,1,wordnet.topn3,0.2398,cuba sugar exports Republic of Cuba saccharify boodle pelf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,drugs  Golden Triangle ,0.2181,1,relevancefeedback.topn10.qld,0.4004,drugs  golden triangle fundamentalist drug heroin said sa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Three Gorges Project ,0.3626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,creativity ,0.3155,1,wordnet.topn3,0.3538,creativity creative thinking ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,quilts  income ,0.4258,6,termluster.topn5.3.qld,0.4801,quilts income made ,conceptnet.topn3.replace,0.441,quilts tax profit ,word2vec.topn3.replace,0.4365,quilts earnings ,sensedisambiguation,0.4362,quilts quilt   income ,docluster.topn10.3.qld,0.4362,quilts  income quilt ,relevancefeedback.topn10.qld,0.4318,quilts  income quilt from retir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,recycle  automobile tires ,0.0975,5,word2vec.topn3.replace,0.1911,recycle car tyres ,word2vec.topn3,0.1302,recycle automobile tires car tyres ,tagmee.topn3,0.1004,recycle automobile tires Recycling Car Tire ,conceptluster.topn5.3.qld,0.1004,recycle automobile tires car recycling tire ,sensedisambiguation,0.0985,recycle   automobile car tires tire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,carbon monoxide poisoning ,0.4075,3,docluster.topn10.3.qld,0.4258,carbon monoxide poisoning said he ,conceptnet.topn3,0.4194,carbon monoxide poisoning an element ophidism ,sensedisambiguation.replace,0.4086,carbon paper monoxide poisoning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,industrial waste disposal ,0.0599,10,stem.porter,0.1179,industri wast dispos ,stem.porter2,0.1179,industri wast dispos ,tagmee.topn3.replace,0.0987,Industrial waste Waste management ,wiki.topn3,0.0971,industrial waste disposal surfacwater wasttreatment list of wasttypes Industrial waste landfill landfill gas water treatment Waste management ,tagmee.topn3,0.0912,industrial waste disposal Industrial waste Waste management ,conceptluster.topn5.3.qld,0.0912,industrial waste disposal industrial waste waste management ,word2vec.topn3,0.0745,industrial waste disposal agricultural non industrial waster waste ,wiki.topn3.replace,0.0684,surfacwater wasttreatment list of wasttypes Industrial waste landfill landfill gas water treatment Waste management ,glove.topn3.replace,0.0671,manufacturing disposal waste ,glove.topn3,0.0631,industrial waste disposal manufacturing disposal waste ,,,,,,,,,,,,,,,,,,,,,,,,
422,art  stolen  forged ,0.1669,3,tagmee.topn3,0.2616,art stolen forged Art Art theft Forgery ,conceptluster.topn5.3.qld,0.2616,art stolen forged art theft forgery art ,tagmee.topn3.replace,0.1867,Art Art theft Forgery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Milosevic  Mirjana Markovic ,0.6526,1,sensedisambiguation,0.6602,Milosevic   Mirjana Markovic markov ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,suicides ,0.1392,2,word2vec.topn3,0.2226,suicides murder suicides ,word2vec.topn3.replace,0.2069,murder suicides ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,counterfeiting money ,0.4444,1,wiki.topn3,0.4458,counterfeiting money counterfeit money counterfeit money forgery Counterfeit money counterfeit money counterfeit money forgery Counterfeit money ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,law enforcement  dogs ,0.0332,10,tagmee.topn3.replace,0.2677,Police Police dog ,tagmee.topn3,0.2303,law enforcement dogs Police Police dog ,conceptluster.topn5.3.qld,0.2303,law enforcement dogs police police dog ,relevancefeedback.topn10.qld,0.0977,law enforcement  dogs beach dog drug said sai ,sensedisambiguation,0.0869,law police enforcement   dogs pawl ,docluster.topn10.3.qld,0.0573,law enforcement  dogs beach dog ,wordnet.topn3,0.0552,law enforcement dogs police practice of law natural law give chase wienerwurst hot dog ,stem.trunc4,0.0407,law enfo   dogs ,stem.trunc5,0.0407,law enfor   dogs ,termluster.topn5.3.qld,0.0399,law enforcement dogs dog enforc said said law dog said law enforc ,,,,,,,,,,,,,,,,,,,,,,,,
